Year,Series,Sexua,Cobertura,Residencia,Discapacidad,Lurraldea,Eskualdea,Udalerria,Units,GeoCode,Value
2010,EU_COV_DIA,,,,PD,,,Mutriku,PLAZA,Mutriku,0.0
2019,EU_COV_DIA,,,,PD,,,Mutriku,PLAZA,Mutriku,0.0
2014,EU_COV_DIA,,,,PD,,,Mutriku,PLAZA,Mutriku,0.0
2011,EU_COV_DIA,,,,PD,,,Mutriku,PLAZA,Mutriku,0.0
2010,EU_COV_DIA,,,,PD,,,Muxika,PLAZA,Muxika,0.0
2018,EU_COV_DIA,,,,PD,,,Muxika,PLAZA,Muxika,0.0
2017,EU_COV_DIA,,,,PD,,,Muxika,PLAZA,Muxika,0.0
2019,EU_COV_DIA,,,,PD,,,Muxika,PLAZA,Muxika,0.0
2013,EU_COV_DIA,,,,PD,,,Muxika,PLAZA,Muxika,0.0
2014,EU_COV_DIA,,,,PD,,,Muxika,PLAZA,Muxika,0.0
2015,EU_COV_DIA,,,,PD,,,Muxika,PLAZA,Muxika,0.0
2011,EU_COV_DIA,,,,PD,,,Muxika,PLAZA,Muxika,0.0
2016,EU_COV_DIA,,,,PD,,,Muxika,PLAZA,Muxika,0.0
2011,EU_COV_DIA,,,,PD,,,Nabarniz,PLAZA,Nabarniz,0.0
2015,EU_COV_DIA,,,,PD,,,Nabarniz,PLAZA,Nabarniz,0.0
2016,EU_COV_DIA,,,,PD,,,Nabarniz,PLAZA,Nabarniz,0.0
2013,EU_COV_DIA,,,,PD,,,Nabarniz,PLAZA,Nabarniz,0.0
2010,EU_COV_DIA,,,,PD,,,Nabarniz,PLAZA,Nabarniz,0.0
2017,EU_COV_DIA,,,,PD,,,Nabarniz,PLAZA,Nabarniz,0.0
2018,EU_COV_DIA,,,,PD,,,Nabarniz,PLAZA,Nabarniz,0.0
2014,EU_COV_DIA,,,,PD,,,Nabarniz,PLAZA,Nabarniz,0.0
2019,EU_COV_DIA,,,,PD,,,Nabarniz,PLAZA,Nabarniz,0.0
2010,EU_COV_DIA,,,,PD,,,Navaridas,PLAZA,Navaridas,0.0
2017,EU_COV_DIA,,,,PD,,,Navaridas,PLAZA,Navaridas,0.0
2014,EU_COV_DIA,,,,PD,,,Navaridas,PLAZA,Navaridas,0.0
2018,EU_COV_DIA,,,,PD,,,Navaridas,PLAZA,Navaridas,0.0
2019,EU_COV_DIA,,,,PD,,,Navaridas,PLAZA,Navaridas,0.0
2016,EU_COV_DIA,,,,PD,,,Navaridas,PLAZA,Navaridas,0.0
2015,EU_COV_DIA,,,,PD,,,Navaridas,PLAZA,Navaridas,0.0
2011,EU_COV_DIA,,,,PD,,,Navaridas,PLAZA,Navaridas,0.0
2013,EU_COV_DIA,,,,PD,,,Navaridas,PLAZA,Navaridas,0.0
2014,EU_COV_DIA,,,,PD,,,Oiartzun,PLAZA,Oiartzun,0.0
2016,EU_COV_DIA,,,,PD,,,Oiartzun,PLAZA,Oiartzun,0.0
2011,EU_COV_DIA,,,,PD,,,Oiartzun,PLAZA,Oiartzun,0.0
2017,EU_COV_DIA,,,,PD,,,Oiartzun,PLAZA,Oiartzun,0.0
2013,EU_COV_DIA,,,,PD,,,Oiartzun,PLAZA,Oiartzun,0.0
2019,EU_COV_DIA,,,,PD,,,Oiartzun,PLAZA,Oiartzun,0.0
2010,EU_COV_DIA,,,,PD,,,Oiartzun,PLAZA,Oiartzun,0.0
2015,EU_COV_DIA,,,,PD,,,Oiartzun,PLAZA,Oiartzun,0.0
2018,EU_COV_DIA,,,,PD,,,Oiartzun,PLAZA,Oiartzun,0.0
2011,EU_COV_DIA,,,,PD,,,Okondo,PLAZA,Okondo,0.0
2017,EU_COV_DIA,,,,PD,,,Okondo,PLAZA,Okondo,0.0
2010,EU_COV_DIA,,,,PD,,,Okondo,PLAZA,Okondo,0.0
2013,EU_COV_DIA,,,,PD,,,Okondo,PLAZA,Okondo,0.0
2019,EU_COV_DIA,,,,PD,,,Okondo,PLAZA,Okondo,0.0
2016,EU_COV_DIA,,,,PD,,,Okondo,PLAZA,Okondo,0.0
