Year,Fuente de energía renovable,Units,Territorio,Comarca,Municipio,GeoCode,Value
2017,Todas las fuentes de energía renovable,Watts per cápita,,,Urkabustaiz,Urkabustaiz,126.52
2018,Todas las fuentes de energía renovable,Watts per cápita,,,Urkabustaiz,Urkabustaiz,123.35
2019,Todas las fuentes de energía renovable,Watts per cápita,,,Urkabustaiz,Urkabustaiz,122.07
2020,Todas las fuentes de energía renovable,Watts per cápita,,,Urkabustaiz,Urkabustaiz,200.96
2021,Todas las fuentes de energía renovable,Watts per cápita,,,Urkabustaiz,Urkabustaiz,406.92
2022,Todas las fuentes de energía renovable,Watts per cápita,,,Urkabustaiz,Urkabustaiz,398.91
2010,Todas las fuentes de energía renovable,Watts per cápita,,,Villabuena de Álava/Eskuernaga,Villabuena de Álava/Eskuernaga,126.89
2011,Todas las fuentes de energía renovable,Watts per cápita,,,Villabuena de Álava/Eskuernaga,Villabuena de Álava/Eskuernaga,128.84
2012,Todas las fuentes de energía renovable,Watts per cápita,,,Villabuena de Álava/Eskuernaga,Villabuena de Álava/Eskuernaga,132.91
2013,Todas las fuentes de energía renovable,Watts per cápita,,,Villabuena de Álava/Eskuernaga,Villabuena de Álava/Eskuernaga,132.91
2014,Todas las fuentes de energía renovable,Watts per cápita,,,Villabuena de Álava/Eskuernaga,Villabuena de Álava/Eskuernaga,140.46
2015,Todas las fuentes de energía renovable,Watts per cápita,,,Villabuena de Álava/Eskuernaga,Villabuena de Álava/Eskuernaga,147.12
2016,Todas las fuentes de energía renovable,Watts per cápita,,,Villabuena de Álava/Eskuernaga,Villabuena de Álava/Eskuernaga,138.61
2017,Todas las fuentes de energía renovable,Watts per cápita,,,Villabuena de Álava/Eskuernaga,Villabuena de Álava/Eskuernaga,137.26
2018,Todas las fuentes de energía renovable,Watts per cápita,,,Villabuena de Álava/Eskuernaga,Villabuena de Álava/Eskuernaga,138.16
2019,Todas las fuentes de energía renovable,Watts per cápita,,,Villabuena de Álava/Eskuernaga,Villabuena de Álava/Eskuernaga,148.94
2020,Todas las fuentes de energía renovable,Watts per cápita,,,Villabuena de Álava/Eskuernaga,Villabuena de Álava/Eskuernaga,143.84
2021,Todas las fuentes de energía renovable,Watts per cápita,,,Villabuena de Álava/Eskuernaga,Villabuena de Álava/Eskuernaga,141.89
2010,Todas las fuentes de energía renovable,Watts per cápita,,,Vitoria-Gasteiz,Vitoria-Gasteiz,247.86
2011,Todas las fuentes de energía renovable,Watts per cápita,,,Vitoria-Gasteiz,Vitoria-Gasteiz,255.7
2012,Todas las fuentes de energía renovable,Watts per cápita,,,Vitoria-Gasteiz,Vitoria-Gasteiz,269.55
2013,Todas las fuentes de energía renovable,Watts per cápita,,,Vitoria-Gasteiz,Vitoria-Gasteiz,287.21
2014,Todas las fuentes de energía renovable,Watts per cápita,,,Vitoria-Gasteiz,Vitoria-Gasteiz,295.55
2015,Todas las fuentes de energía renovable,Watts per cápita,,,Vitoria-Gasteiz,Vitoria-Gasteiz,294.64
2016,Todas las fuentes de energía renovable,Watts per cápita,,,Vitoria-Gasteiz,Vitoria-Gasteiz,298.62
2017,Todas las fuentes de energía renovable,Watts per cápita,,,Vitoria-Gasteiz,Vitoria-Gasteiz,304.29
2018,Todas las fuentes de energía renovable,Watts per cápita,,,Vitoria-Gasteiz,Vitoria-Gasteiz,315.2
2019,Todas las fuentes de energía renovable,Watts per cápita,,,Vitoria-Gasteiz,Vitoria-Gasteiz,367.91
2020,Todas las fuentes de energía renovable,Watts per cápita,,,Vitoria-Gasteiz,Vitoria-Gasteiz,425.18
2021,Todas las fuentes de energía renovable,Watts per cápita,,,Vitoria-Gasteiz,Vitoria-Gasteiz,524.86
2022,Todas las fuentes de energía renovable,Watts per cápita,,,Vitoria-Gasteiz,Vitoria-Gasteiz,527.25
2010,Todas las fuentes de energía renovable,Watts per cápita,,Arabako Kantaurialdea / Cantábrica Alavesa,,Arabako Kantaurialdea / Cantábrica Alavesa,187.79
2011,Todas las fuentes de energía renovable,Watts per cápita,,Arabako Kantaurialdea / Cantábrica Alavesa,,Arabako Kantaurialdea / Cantábrica Alavesa,192.22
2012,Todas las fuentes de energía renovable,Watts per cápita,,Arabako Kantaurialdea / Cantábrica Alavesa,,Arabako Kantaurialdea / Cantábrica Alavesa,192.5
2013,Todas las fuentes de energía renovable,Watts per cápita,,Arabako Kantaurialdea / Cantábrica Alavesa,,Arabako Kantaurialdea / Cantábrica Alavesa,193.42
2014,Todas las fuentes de energía renovable,Watts per cápita,,Arabako Kantaurialdea / Cantábrica Alavesa,,Arabako Kantaurialdea / Cantábrica Alavesa,198.63
2015,Todas las fuentes de energía renovable,Watts per cápita,,Arabako Kantaurialdea / Cantábrica Alavesa,,Arabako Kantaurialdea / Cantábrica Alavesa,198.97
2016,Todas las fuentes de energía renovable,Watts per cápita,,Arabako Kantaurialdea / Cantábrica Alavesa,,Arabako Kantaurialdea / Cantábrica Alavesa,203.01
2017,Todas las fuentes de energía renovable,Watts per cápita,,Arabako Kantaurialdea / Cantábrica Alavesa,,Arabako Kantaurialdea / Cantábrica Alavesa,207.33
2018,Todas las fuentes de energía renovable,Watts per cápita,,Arabako Kantaurialdea / Cantábrica Alavesa,,Arabako Kantaurialdea / Cantábrica Alavesa,214.13
2019,Todas las fuentes de energía renovable,Watts per cápita,,Arabako Kantaurialdea / Cantábrica Alavesa,,Arabako Kantaurialdea / Cantábrica Alavesa,223.78
2020,Todas las fuentes de energía renovable,Watts per cápita,,Arabako Kantaurialdea / Cantábrica Alavesa,,Arabako Kantaurialdea / Cantábrica Alavesa,233.54
2021,Todas las fuentes de energía renovable,Watts per cápita,,Arabako Kantaurialdea / Cantábrica Alavesa,,Arabako Kantaurialdea / Cantábrica Alavesa,284.36
2022,Todas las fuentes de energía renovable,Watts per cápita,,Arabako Kantaurialdea / Cantábrica Alavesa,,Arabako Kantaurialdea / Cantábrica Alavesa,294.72
2010,Todas las fuentes de energía renovable,Watts per cápita,,,Zalduondo,Zalduondo,382.36
2011,Todas las fuentes de energía renovable,Watts per cápita,,,Zalduondo,Zalduondo,406.25
2012,Todas las fuentes de energía renovable,Watts per cápita,,,Zalduondo,Zalduondo,429.31
2013,Todas las fuentes de energía renovable,Watts per cápita,,,Zalduondo,Zalduondo,418.37
2014,Todas las fuentes de energía renovable,Watts per cápita,,,Zalduondo,Zalduondo,375.24
2015,Todas las fuentes de energía renovable,Watts per cápita,,,Zalduondo,Zalduondo,410.61
2016,Todas las fuentes de energía renovable,Watts per cápita,,,Zalduondo,Zalduondo,412.07
2017,Todas las fuentes de energía renovable,Watts per cápita,,,Zalduondo,Zalduondo,418.37
2018,Todas las fuentes de energía renovable,Watts per cápita,,,Zalduondo,Zalduondo,422.68
2019,Todas las fuentes de energía renovable,Watts per cápita,,,Zalduondo,Zalduondo,416.25
2020,Todas las fuentes de energía renovable,Watts per cápita,,,Zalduondo,Zalduondo,399.99
2021,Todas las fuentes de energía renovable,Watts per cápita,,,Zalduondo,Zalduondo,589.38
2022,Todas las fuentes de energía renovable,Watts per cápita,,,Zalduondo,Zalduondo,570.09
2010,Todas las fuentes de energía renovable,Watts per cápita,,,Zuia,Zuia,837.76
2011,Todas las fuentes de energía renovable,Watts per cápita,,,Zuia,Zuia,919.03
2012,Todas las fuentes de energía renovable,Watts per cápita,,,Zuia,Zuia,950.34
2013,Todas las fuentes de energía renovable,Watts per cápita,,,Zuia,Zuia,952.29
2014,Todas las fuentes de energía renovable,Watts per cápita,,,Zuia,Zuia,974.28
2015,Todas las fuentes de energía renovable,Watts per cápita,,,Zuia,Zuia,989.04
2016,Todas las fuentes de energía renovable,Watts per cápita,,,Zuia,Zuia,994.1
2016,Todas las fuentes de energía renovable,Watts per cápita,,,Iruña Oka/Iruña de Oca,Iruña Oka/Iruña de Oca,991.72
2017,Todas las fuentes de energía renovable,Watts per cápita,,,Iruña Oka/Iruña de Oca,Iruña Oka/Iruña de Oca,973.59
2018,Todas las fuentes de energía renovable,Watts per cápita,,,Iruña Oka/Iruña de Oca,Iruña Oka/Iruña de Oca,962.15
2010,Todas las fuentes de energía renovable,Watts per cápita,Gipuzkoa,,,Gipuzkoa,948.18
2011,Todas las fuentes de energía renovable,Watts per cápita,Gipuzkoa,,,Gipuzkoa,950.54
2012,Todas las fuentes de energía renovable,Watts per cápita,Gipuzkoa,,,Gipuzkoa,949.24
2013,Todas las fuentes de energía renovable,Watts per cápita,Gipuzkoa,,,Gipuzkoa,963.68
2014,Todas las fuentes de energía renovable,Watts per cápita,Gipuzkoa,,,Gipuzkoa,968.48
2015,Todas las fuentes de energía renovable,Watts per cápita,Gipuzkoa,,,Gipuzkoa,968.28
2016,Todas las fuentes de energía renovable,Watts per cápita,Gipuzkoa,,,Gipuzkoa,960.25
2017,Todas las fuentes de energía renovable,Watts per cápita,Gipuzkoa,,,Gipuzkoa,964.85
2010,Todas las fuentes de energía renovable,Watts per cápita,,,Abaltzisketa,Abaltzisketa,464.97
2011,Todas las fuentes de energía renovable,Watts per cápita,,,Abaltzisketa,Abaltzisketa,459.12
2012,Todas las fuentes de energía renovable,Watts per cápita,,,Abaltzisketa,Abaltzisketa,468.75
2013,Todas las fuentes de energía renovable,Watts per cápita,,,Abaltzisketa,Abaltzisketa,470.22
2014,Todas las fuentes de energía renovable,Watts per cápita,,,Abaltzisketa,Abaltzisketa,634.8
2015,Todas las fuentes de energía renovable,Watts per cápita,,,Abaltzisketa,Abaltzisketa,657.65
2016,Todas las fuentes de energía renovable,Watts per cápita,,,Abaltzisketa,Abaltzisketa,656.25
2017,Todas las fuentes de energía renovable,Watts per cápita,,,Abaltzisketa,Abaltzisketa,668.8
2018,Todas las fuentes de energía renovable,Watts per cápita,,,Abaltzisketa,Abaltzisketa,640.24
2019,Todas las fuentes de energía renovable,Watts per cápita,,,Abaltzisketa,Abaltzisketa,668.8
2020,Todas las fuentes de energía renovable,Watts per cápita,,,Abaltzisketa,Abaltzisketa,684.04
2021,Todas las fuentes de energía renovable,Watts per cápita,,,Abaltzisketa,Abaltzisketa,825.66
2010,Todas las fuentes de energía renovable,Watts per cápita,,,Aduna,Aduna,362.42
2011,Todas las fuentes de energía renovable,Watts per cápita,,,Aduna,Aduna,362.42
2012,Todas las fuentes de energía renovable,Watts per cápita,,,Aduna,Aduna,364.24
2013,Todas las fuentes de energía renovable,Watts per cápita,,,Aduna,Aduna,353.32
2014,Todas las fuentes de energía renovable,Watts per cápita,,,Aduna,Aduna,343.87
2015,Todas las fuentes de energía renovable,Watts per cápita,,,Aduna,Aduna,350.33
2016,Todas las fuentes de energía renovable,Watts per cápita,,,Aduna,Aduna,343.04
2017,Todas las fuentes de energía renovable,Watts per cápita,,,Aduna,Aduna,343.75
