Year,Series,Sexo,Cobertura,Residencia,Discapacidad,Territorio,Comarca,Municipio,Units,GeoCode,Value
2023,EU_COV_PENSN,,,,,,,Getxo,Porcentaje,Getxo,26.7
2023,EU_COV_PENSN,,,,,,,Gizaburuaga,Porcentaje,Gizaburuaga,19.1
2022,EU_COV_PENSN,,,,,,,Gizaburuaga,Porcentaje,Gizaburuaga,18.6
2023,EU_COV_PENSN,,,,,,,Gordexola,Porcentaje,Gordexola,24.2
2022,EU_COV_PENSN,,,,,,,Gordexola,Porcentaje,Gordexola,23.8
2022,EU_COV_PENSN,,,,,,,Gorliz,Porcentaje,Gorliz,19.8
2023,EU_COV_PENSN,,,,,,,Gorliz,Porcentaje,Gorliz,20.2
2023,EU_COV_PENSN,,,,,,,Güeñes,Porcentaje,Güeñes,24.5
2022,EU_COV_PENSN,,,,,,,Güeñes,Porcentaje,Güeñes,24.5
2023,EU_COV_PENSN,,,,,,,Harana/Valle de Arana,Porcentaje,Harana/Valle de Arana,47.2
2022,EU_COV_PENSN,,,,,,,Harana/Valle de Arana,Porcentaje,Harana/Valle de Arana,49.4
2022,EU_COV_PENSN,,,,,,,Hernani,Porcentaje,Hernani,24.3
2023,EU_COV_PENSN,,,,,,,Hernani,Porcentaje,Hernani,24.3
2023,EU_COV_PENSN,,,,,,,Hernialde,Porcentaje,Hernialde,29.6
2022,EU_COV_PENSN,,,,,,,Hernialde,Porcentaje,Hernialde,26.4
2022,EU_COV_PENSN,,,,,,,Hondarribia,Porcentaje,Hondarribia,24.3
2023,EU_COV_PENSN,,,,,,,Hondarribia,Porcentaje,Hondarribia,24.7
2022,EU_COV_PENSN,,,,,,,Ibarra,Porcentaje,Ibarra,29.6
2023,EU_COV_PENSN,,,,,,,Ibarra,Porcentaje,Ibarra,30.0
2023,EU_COV_PENSN,,,,,,,Ibarrangelu,Porcentaje,Ibarrangelu,22.4
2022,EU_COV_PENSN,,,,,,,Ibarrangelu,Porcentaje,Ibarrangelu,23.6
2022,EU_COV_PENSN,,,,,,,Idiazabal,Porcentaje,Idiazabal,27.4
2023,EU_COV_PENSN,,,,,,,Idiazabal,Porcentaje,Idiazabal,27.4
2023,EU_COV_PENSN,,,,,,,Igorre,Porcentaje,Igorre,25.6
2022,EU_COV_PENSN,,,,,,,Igorre,Porcentaje,Igorre,25.2
2022,EU_COV_PENSN,,,,,,,Ikaztegieta,Porcentaje,Ikaztegieta,26.7
2023,EU_COV_PENSN,,,,,,,Ikaztegieta,Porcentaje,Ikaztegieta,26.1
2023,EU_COV_PENSN,,,,,,,Irun,Porcentaje,Irun,25.5
